sensor,post-decision,normalizado,milisegundos,decision,ultima_modificacion,raw_minimo,raw_maximo,raw_cuartil1,raw_cuartil2,raw_cuartil3,alpha_minimo,alpha_maximo,alpha_cuartil1,alpha_cuartil2,alpha_cuartil3,beta_minimo,beta_maximo,beta_cuartil1,beta_cuartil2,beta_cuartil3,delta_minimo,delta_maximo,delta_cuartil1,delta_cuartil2,delta_cuartil3,theta_minimo,theta_maximo,theta_cuartil1,theta_cuartil2,theta_cuartil3,gamma_minimo,gamma_maximo,gamma_cuartil1,gamma_cuartil2,gamma_cuartil3
AF8,False,False,7000,p,2023-05-24 22:13:32,0.0,1337326.0,786.52014,794.57874,802.6374,-0.75029993,3.0069635,0.08267695,0.28577945,0.5077775,-0.6375703,319.0,-0.013998587,0.22098355,0.46567607,-0.97112894,3.8159835,0.0604081,0.40938714,0.740845,-1.1341383,2.8446207,-0.1049361,0.12291135,0.42791325,-1.0580364,1.745965,-0.3442316,-0.04492595,0.21986264
AF8,False,False,7000,q,2023-05-24 22:13:32,0.0,1180989.0,786.52014,794.57874,802.23444,-0.8186311,2.758081,0.08813783,0.2937103,0.5216417,-0.56511796,319.0,-0.02973716,0.21268877,0.47310638,-1.0439684,3.4343765,0.05413953,0.42083883,0.75971437,-1.2861519,2.4785857,-0.11051539,0.13496493,0.4478235,-1.0987957,1.403194,-0.35861602,-0.05295287,0.22628029
AF8,True,False,0,p,2023-05-24 22:13:32,0.0,960989.0,786.9231,794.57874,801.8315,-0.6281328,2.758081,0.04256128,0.2197792,0.42433083,-0.48679006,1.7196876,-0.046813544,0.21907192,0.47875926,-1.0070719,3.1675844,-0.05965373,0.20971258,0.58878094,-0.96446973,2.2167096,-0.20921831,0.0,0.29967123,-1.0415468,1.4283311,-0.3650915,-0.04997734,0.22803553
AF8,True,False,0,q,2023-05-24 22:13:32,0.0,891685.0,786.1172,794.17584,801.4286,-0.66242784,2.61565,0.03126677,0.22636014,0.45687616,-0.50873446,1.8393896,-0.06635276,0.1881056,0.45953402,-0.8338818,3.2705128,-0.027137855,0.22530112,0.5945835,-0.88945574,2.3276541,-0.18203692,0.0,0.30528274,-1.2169583,1.3223147,-0.40072998,-0.057277642,0.21770443
TP9,False,False,7000,p,2023-05-24 22:13:32,0.0,1649597.0,118.05861,778.86444,829.6337,-3.470564,3.3688366,0.0,0.0,0.60931695,-3.3787923,2.629875,0.0,0.0,0.5360032,-3.5619411,4.0913587,0.0,0.0,0.6254102,-3.3282535,3.1496458,0.0,0.0,0.42801344,-3.4615107,2.031468,0.0,0.0,0.1784201
TP9,False,False,7000,q,2023-05-24 22:13:32,0.0,1649597.0,118.86447,781.685,830.0366,-3.470564,3.3688366,0.0,0.0,0.63651097,-3.3787923,2.629875,0.0,0.0,0.5470902,-3.5619411,4.0913587,0.0,0.0,0.64242774,-3.3282535,3.1496458,0.0,0.0,0.44520172,-3.4615107,2.031468,0.0,0.0,0.2148618
TP9,True,False,0,p,2023-05-24 22:13:32,0.0,1649597.0,136.19048,784.5055,822.7839,-3.470564,3.3688366,0.0,0.0,0.65901995,-3.3787923,2.629875,0.0,0.0,0.53802854,-3.5619411,4.0913587,0.0,0.0,0.60090905,-3.3282535,3.1496458,0.0,0.0,0.42144674,-3.4615107,2.031468,0.0,0.0,0.2030717
TP9,True,False,0,q,2023-05-24 22:13:32,0.0,1649597.0,116.849815,785.31134,818.3516,-3.470564,3.3688366,0.0,0.0,0.655024,-3.3787923,2.629875,0.0,0.0,0.5418974,-3.5619411,4.0913587,0.0,0.0,0.59541196,-3.3282535,3.1496458,0.0,0.0,0.4609995,-3.4615107,2.031468,0.0,0.0,0.21419472
TP10,False,False,7000,p,2023-05-24 22:13:32,0.0,1644359.0,132.96703,780.07324,868.71796,-4.0278673,3.026766,0.0,0.0,0.6456024,-3.7600257,2.6293705,0.0,0.0,0.6135709,-4.7293224,4.1095366,0.0,0.0,0.6675277,-4.2351832,3.137451,0.0,0.0,0.4672725,-3.7023327,2.0412056,0.0,0.0,0.3952644
TP10,False,False,7000,q,2023-05-24 22:13:32,0.0,1464652.0,144.24908,784.5055,855.0183,-4.0278673,3.0166652,0.0,0.0,0.64541215,-3.7600257,2.5687404,0.0,0.0,0.59947866,-4.7293224,4.0429745,0.0,0.0,0.66407084,-4.2351832,3.0838258,0.0,0.0,0.47960904,-3.7023327,1.9813784,0.0,0.0,0.3624363
TP10,True,False,0,p,2023-05-24 22:13:32,0.0,1627033.0,201.06227,787.326,846.1539,-4.0278673,3.0174074,0.0,0.17488408,0.69401085,-3.7600257,2.6063972,0.0,0.22920159,0.62114465,-4.7293224,4.0619216,0.0,0.0040465454,0.6384615,-4.2351832,3.1207917,0.0,0.0,0.4896546,-3.7023327,1.994784,0.0,0.0,0.42152837
